Wall time,Step,Value
1574803328.1385047,10001,-247.1055908203125
1574803352.733681,20001,-202.0255584716797
1574803385.1298146,30001,-177.73544311523438
1574803421.1782668,40001,-156.1205291748047
1574803450.5558984,50001,-144.36636352539062
1574803482.489637,60001,-110.31414794921875
1574803516.58652,70001,-96.07856750488281
1574803547.851832,80001,-70.85782623291016
1574803578.5770607,90001,-56.459678649902344
1574803614.5269594,100001,-41.58085632324219
1574803642.992749,110001,-22.86261749267578
1574803673.0415032,120001,3.6993424892425537
1574803701.7146406,130001,25.221908569335938
1574803732.1144066,140001,41.59650421142578
1574803764.3059542,150001,54.48115539550781
1574803790.581647,160001,70.78731536865234
1574803828.2736678,170001,64.2257308959961
1574803853.9019518,180001,68.50452423095703
1574803882.915231,190001,63.3953742980957
1574803911.3715343,200001,63.907527923583984
1574803937.6632338,210001,88.9933853149414
1574803962.6249008,220001,77.43582153320312
1574803986.6412477,230001,95.05744171142578
1574804015.7706032,240001,82.53935241699219
1574804045.6458757,250001,79.2422866821289
1574804072.6963139,260001,93.47621154785156
1574804093.498606,270001,134.12689208984375
1574804117.2379944,280001,145.2225799560547
1574804139.1494844,290001,137.3676300048828
1574804165.4890263,300001,146.17648315429688
1574804186.7514226,310001,142.14027404785156
1574804208.6665967,320001,152.14854431152344
1574804230.1092682,330001,141.2570343017578
1574804251.5884478,340001,119.60041046142578
1574804272.4349558,350001,117.48085021972656
1574804297.776434,360001,129.17462158203125
1574804318.334044,370001,166.17117309570312
1574804340.004907,380001,182.0996856689453
1574804361.6499634,390001,172.24032592773438
1574804383.1465569,400001,174.4617919921875
1574804404.0832028,410001,191.1450958251953
1574804427.085595,420001,188.524658203125
1574804450.0953753,430001,187.86793518066406
1574804471.5493636,440001,189.88902282714844
1574804492.9421675,450001,165.3145751953125
1574804513.0888476,460001,143.6839599609375
1574804533.1884775,470001,148.37762451171875
1574804553.9519722,480001,118.5694351196289
1574804574.5539927,490001,133.80783081054688
