Wall time,Step,Value
1574801790.2765093,10001,-242.14996337890625
1574801810.500947,20001,-196.8795928955078
1574801839.518843,30001,-171.48817443847656
1574801881.5530233,40001,-156.8282928466797
1574801910.8047822,50001,-138.23431396484375
1574801939.4248834,60001,-119.82915496826172
1574801967.9776633,70001,-93.31641387939453
1574801992.9252872,80001,-74.04204559326172
1574802020.038267,90001,-65.3158187866211
1574802061.3487096,100001,-44.12854766845703
1574802087.9364855,110001,-25.66437530517578
1574802115.7406075,120001,-22.770065307617188
1574802145.4555736,130001,-9.783635139465332
1574802177.3224623,140001,-5.066680908203125
1574802207.4780078,150001,11.930721282958984
1574802237.0741563,160001,27.162982940673828
1574802270.4964218,170001,38.784427642822266
1574802300.0834103,180001,48.485836029052734
1574802326.3040795,190001,67.83106231689453
1574802354.6061625,200001,61.13130569458008
1574802382.817505,210001,56.63846206665039
1574802410.0791144,220001,70.22972106933594
1574802443.078193,230001,68.34610748291016
1574802475.4103978,240001,71.77437591552734
1574802503.9023883,250001,74.07855987548828
1574802531.7306092,260001,77.2488784790039
1574802558.9927993,270001,68.81240844726562
1574802587.1590366,280001,68.04816436767578
1574802613.3129644,290001,82.30780792236328
1574802644.1516953,300001,101.2186508178711
1574802668.0133243,310001,131.63917541503906
1574802690.815177,320001,123.33431243896484
1574802713.1073563,330001,112.64691162109375
1574802735.7470477,340001,126.44768524169922
1574802759.8614666,350001,128.02548217773438
1574802784.3032036,360001,96.05652618408203
1574802807.1773334,370001,96.63200378417969
1574802830.104883,380001,102.45932006835938
1574802854.3643115,390001,110.69881439208984
1574802880.1309264,400001,106.06487274169922
1574802908.1748235,410001,83.05257415771484
1574802934.56907,420001,54.426231384277344
1574802966.2936082,430001,47.69432830810547
1574802992.150125,440001,57.477725982666016
1574803019.956066,450001,74.67526245117188
1574803044.0869274,460001,59.34550857543945
1574803064.2083976,470001,44.7734375
1574803083.3239207,480001,30.535682678222656
1574803100.949707,490001,12.533759117126465
