Wall time,Step,Value
1574802018.0217326,10001,-262.797607421875
1574802039.055187,20001,-185.0507354736328
1574802078.7264392,30001,-170.3756103515625
1574802111.108252,40001,-151.04592895507812
1574802145.4680486,50001,-130.4064483642578
1574802178.1918464,60001,-122.7725830078125
1574802208.8546188,70001,-112.48727416992188
1574802239.9176278,80001,-90.08087921142578
1574802271.3475294,90001,-78.03247833251953
1574802311.9966736,100001,-64.615478515625
1574802341.1564395,110001,-47.396942138671875
1574802371.6098757,120001,-31.14604949951172
1574802404.9152522,130001,-17.02076530456543
1574802435.852867,140001,10.825052261352539
1574802465.1057603,150001,19.235719680786133
1574802492.4079366,160001,30.98836898803711
1574802520.4207113,170001,42.899513244628906
1574802555.8435042,180001,58.874229431152344
1574802588.0417848,190001,60.16659164428711
1574802616.8604007,200001,63.6732063293457
1574802646.7796857,210001,62.71766662597656
1574802675.2033832,220001,54.92936706542969
1574802703.2908454,230001,57.51738739013672
1574802731.8752964,240001,62.097904205322266
1574802765.1739376,250001,86.29057312011719
1574802790.5432885,260001,113.53759002685547
1574802815.919131,270001,139.3241729736328
1574802842.5941963,280001,139.96685791015625
1574802869.548983,290001,125.49004364013672
1574802895.1263797,300001,105.31098937988281
1574802923.4574885,310001,93.94718933105469
1574802948.5911536,320001,103.66048431396484
1574802973.589163,330001,118.14585876464844
1574802995.1679723,340001,121.35549926757812
1574803013.7243376,350001,140.04568481445312
1574803031.703088,360001,161.14620971679688
1574803054.0037138,370001,156.14260864257812
1574803071.6721947,380001,172.93142700195312
1574803090.5854309,390001,171.30267333984375
1574803110.3214512,400001,148.90744018554688
1574803126.8803048,410001,142.3477325439453
1574803142.1202826,420001,157.73086547851562
1574803157.22362,430001,133.310302734375
1574803172.7613263,440001,128.67691040039062
1574803187.6798406,450001,138.5604705810547
1574803201.561142,460001,79.561279296875
1574803215.3712294,470001,65.61058044433594
1574803228.942437,480001,50.89773941040039
1574803242.5005343,490001,61.73861312866211
