Wall time,Step,Value
1574763096.180704,1660001,-3.8399999141693115
1574763143.8522437,1670001,-3.7300000190734863
1574763191.011856,1680001,-3.7799999713897705
1574763237.9368591,1690001,-3.5399999618530273
1574763289.6009955,1700001,-3.390000104904175
1574763338.8254728,1710001,-3.200000047683716
1574763386.5333683,1720001,-3.2300000190734863
1574763434.461714,1730001,-2.990000009536743
1574763482.3503141,1740001,-2.7100000381469727
1574763530.5154297,1750001,-2.4700000286102295
1574763578.0682127,1760001,-2.380000114440918
1574763625.7221713,1770001,-2.25
1574763673.6433847,1780001,-2.200000047683716
1574763721.6122844,1790001,-1.9800000190734863
1574763769.4182606,1800001,-1.7200000286102295
1574763817.08757,1810001,-1.5299999713897705
1574763865.1423342,1820001,-1.190000057220459
1574763913.168279,1830001,-1.149999976158142
1574763961.0111766,1840001,-0.8899999856948853
1574764008.799017,1850001,-0.7400000095367432
1574764056.7797496,1860001,-0.550000011920929
1574764104.8320312,1870001,-0.4099999964237213
1574764152.444774,1880001,-0.28999999165534973
1574764200.085991,1890001,-0.15000000596046448
1574764247.703623,1900001,-0.05000000074505806
1574764295.2170222,1910001,0.10000000149011612
1574764343.1380646,1920001,0.12999999523162842
1574764390.5639606,1930001,0.23999999463558197
1574764438.1748776,1940001,0.3700000047683716
1574764485.5378408,1950001,0.6299999952316284
1574764533.4589174,1960001,0.8399999737739563
1574764581.040666,1970001,1.1200000047683716
1574764628.7971797,1980001,1.4299999475479126
1574764676.1588778,1990001,1.6699999570846558
1574764723.8201096,2000001,2.0999999046325684
1574764771.4198513,2010001,2.6600000858306885
1574764818.941983,2020001,3.0
1574764866.692329,2030001,3.430000066757202
1574764914.739508,2040001,3.569999933242798
1574764962.8491452,2050001,3.6600000858306885
1574765010.4534032,2060001,3.859999895095825
1574765057.9070992,2070001,4.010000228881836
1574765105.449409,2080001,4.199999809265137
1574765153.2294579,2090001,4.5
1574765200.8169396,2100001,4.929999828338623
1574765248.4149902,2110001,5.019999980926514
1574765295.8859558,2120001,5.320000171661377
1574765343.6072488,2130001,5.360000133514404
1574765391.5152278,2140001,5.659999847412109
1574765439.2601163,2150001,6.159999847412109
1574765487.0219927,2160001,6.53000020980835
1574765535.1453722,2170001,6.579999923706055
1574765583.1242447,2180001,6.760000228881836
1574765630.2712882,2190001,6.960000038146973
1574765677.9289618,2200001,7.199999809265137
1574765725.7108617,2210001,7.489999771118164
1574765773.5122988,2220001,7.789999961853027
1574765821.5995357,2230001,8.149999618530273
1574765869.3723207,2240001,8.489999771118164
1574765917.2611468,2250001,8.869999885559082
1574765965.0285308,2260001,9.239999771118164
1574766012.9496908,2270001,9.5
1574766060.9487076,2280001,9.65999984741211
1574766108.939601,2290001,10.0600004196167
1574766156.7242277,2300001,10.119999885559082
1574766204.707767,2310001,10.380000114440918
1574766252.7066464,2320001,10.510000228881836
1574766300.4654694,2330001,10.920000076293945
1574766348.202562,2340001,11.119999885559082
1574766395.803473,2350001,11.199999809265137
1574766443.4485986,2360001,11.380000114440918
1574766490.9242005,2370001,11.770000457763672
1574766538.7072113,2380001,11.800000190734863
1574766586.276158,2390001,11.899999618530273
1574766634.1763732,2400001,12.130000114440918
1574766682.0808399,2410001,12.229999542236328
1574766729.6870003,2420001,12.430000305175781
1574766777.4912918,2430001,12.529999732971191
1574766825.1319063,2440001,12.760000228881836
1574766872.9117608,2450001,12.84000015258789
1574766920.7407975,2460001,13.140000343322754
1574766968.2921672,2470001,13.300000190734863
1574767015.8657863,2480001,13.4399995803833
1574767063.9270306,2490001,13.5
1574767111.5101469,2500001,13.6899995803833
1574767159.620939,2510001,13.789999961853027
1574767207.5048592,2520001,13.770000457763672
1574767255.3345554,2530001,13.949999809265137
1574767303.1565635,2540001,14.119999885559082
1574767350.9403274,2550001,14.300000190734863
1574767398.4573524,2560001,14.359999656677246
1574767446.0974226,2570001,14.390000343322754
1574767494.0799232,2580001,14.279999732971191
1574767541.8850772,2590001,14.229999542236328
1574767589.5558856,2600001,14.390000343322754
1574767637.6642404,2610001,14.59000015258789
1574767685.4751506,2620001,14.59000015258789
1574767733.322001,2630001,14.739999771118164
1574767780.8722446,2640001,14.739999771118164
1574767828.611981,2650001,14.90999984741211
1574767875.5921955,2660001,14.970000267028809
1574767923.4904895,2670001,15.170000076293945
1574767971.2670949,2680001,15.09000015258789
1574768019.2875965,2690001,15.15999984741211
1574768067.1373541,2700001,15.050000190734863
1574768115.0171812,2710001,15.050000190734863
1574768162.7379973,2720001,14.960000038146973
1574768210.6895256,2730001,14.899999618530273
