Wall time,Step,Value
1574803348.6852503,10001,-261.68914794921875
1574803375.0270252,20001,-224.693115234375
1574803405.5421586,30001,-194.34500122070312
1574803443.3951876,40001,-176.03085327148438
1574803479.1516414,50001,-156.3871307373047
1574803517.1538258,60001,-148.75338745117188
1574803548.9173925,70001,-126.12516784667969
1574803576.0270815,80001,-80.57068634033203
1574803608.4638915,90001,-69.90574645996094
1574803636.7900105,100001,-62.6501350402832
1574803670.462183,110001,-45.80873107910156
1574803697.7144084,120001,-10.76087760925293
1574803733.4622133,130001,2.8985044956207275
1574803768.3049977,140001,8.751550674438477
1574803798.2629032,150001,18.818485260009766
1574803827.9779701,160001,31.555469512939453
1574803855.3151789,170001,59.755592346191406
1574803892.8559167,180001,59.5693359375
1574803920.4463623,190001,70.351318359375
1574803948.9543047,200001,81.93367004394531
1574803974.8110259,210001,69.79512023925781
1574803998.3076544,220001,67.5078125
1574804022.3568373,230001,56.01572799682617
1574804051.3168614,240001,56.956642150878906
1574804078.1440246,250001,51.780887603759766
1574804112.6458817,260001,42.85256576538086
1574804143.59825,270001,38.99671936035156
1574804172.2812355,280001,26.154436111450195
1574804200.3246107,290001,11.569034576416016
1574804224.190885,300001,30.8848934173584
1574804248.1133718,310001,59.389122009277344
1574804271.9139876,320001,85.13243865966797
1574804296.4763727,330001,114.114013671875
1574804318.9720283,340001,139.61911010742188
1574804341.5698936,350001,152.02845764160156
1574804365.8963223,360001,157.6801300048828
1574804387.550912,370001,173.06719970703125
1574804408.4232912,380001,172.8675079345703
1574804429.3300042,390001,156.8217315673828
1574804449.7118175,400001,150.51084899902344
1574804469.9436944,410001,124.98527526855469
1574804489.9895651,420001,113.3306884765625
1574804510.2718434,430001,95.62606048583984
1574804530.5556521,440001,57.72746658325195
1574804551.4223914,450001,51.947200775146484
1574804572.6744564,460001,77.40766906738281
1574804592.580312,470001,108.464111328125
1574804610.039929,480001,118.58013153076172
1574804627.3582077,490001,110.47871398925781
