Wall time,Step,Value
1574852511.298688,10001,-20.090909957885742
1574852563.6365016,20001,-20.095237731933594
1574852616.6198301,30001,-20.21875
1574852667.9908445,40001,-20.255813598632812
1574852720.0348105,50001,-20.226415634155273
1574852825.607125,60001,-20.28125
1574852929.4264657,70001,-20.30666732788086
1574853034.1494203,80001,-20.356321334838867
1574853137.9949195,90001,-20.35714340209961
1574853242.8228395,100001,-20.3700008392334
1574853346.9835312,110001,-20.43000030517578
1574853452.9816604,120001,-20.3799991607666
1574853557.4094381,130001,-20.40999984741211
1574853662.2853575,140001,-20.3700008392334
1574853766.0254624,150001,-20.389999389648438
1574853869.8757172,160001,-20.399999618530273
1574853974.691214,170001,-20.3799991607666
1574854079.2247462,180001,-20.350000381469727
1574854183.9616635,190001,-20.350000381469727
1574854288.3837922,200001,-20.280000686645508
1574854393.1289783,210001,-20.229999542236328
1574854497.6605048,220001,-20.270000457763672
1574854602.843121,230001,-20.270000457763672
1574854708.8191073,240001,-20.299999237060547
1574854813.3160858,250001,-20.290000915527344
1574854918.350723,260001,-20.309999465942383
1574855023.990994,270001,-20.290000915527344
1574855130.91383,280001,-20.239999771118164
1574855237.015669,290001,-20.219999313354492
1574855342.4343393,300001,-20.299999237060547
1574855449.8778079,310001,-20.290000915527344
1574855556.4407032,320001,-20.239999771118164
1574855660.9775162,330001,-20.219999313354492
1574855765.9480734,340001,-20.09000015258789
1574855872.21756,350001,-20.040000915527344
1574855978.3459098,360001,-19.969999313354492
1574856084.2998126,370001,-19.940000534057617
1574856191.2636445,380001,-19.950000762939453
1574856297.7588866,390001,-19.969999313354492
1574856404.897651,400001,-20.010000228881836
1574856511.3618698,410001,-20.030000686645508
1574856618.6303518,420001,-19.8799991607666
1574856724.2489438,430001,-19.809999465942383
1574856830.2385237,440001,-19.729999542236328
1574856936.4041946,450001,-19.649999618530273
1574857044.406345,460001,-19.559999465942383
1574857152.2612624,470001,-19.510000228881836
1574857258.1134467,480001,-19.3700008392334
1574857364.93427,490001,-19.209999084472656
1574857472.4053442,500001,-19.06999969482422
1574857580.38567,510001,-18.969999313354492
1574857689.411427,520001,-18.790000915527344
1574857796.750851,530001,-18.68000030517578
1574857903.8993256,540001,-18.610000610351562
1574858011.4445126,550001,-18.510000228881836
1574858119.0962377,560001,-18.3700008392334
1574858225.5533288,570001,-18.360000610351562
1574858332.224489,580001,-18.260000228881836
1574858438.8570902,590001,-18.1299991607666
1574858546.0184216,600001,-18.040000915527344
1574858652.211349,610001,-17.889999389648438
1574858757.823369,620001,-17.639999389648438
1574858865.0556135,630001,-17.670000076293945
1574858970.666594,640001,-17.6299991607666
1574859078.1862419,650001,-17.600000381469727
1574859185.1611352,660001,-17.440000534057617
1574859293.3865123,670001,-17.3700008392334
1574859402.3259325,680001,-17.18000030517578
1574859510.3653991,690001,-17.110000610351562
1574859619.1078029,700001,-17.049999237060547
1574859727.0252025,710001,-16.889999389648438
1574859833.8328152,720001,-16.719999313354492
1574859941.3912222,730001,-16.700000762939453
1574860047.747246,740001,-16.579999923706055
1574860154.4554207,750001,-16.59000015258789
1574860260.6906087,760001,-16.479999542236328
1574860368.516341,770001,-16.399999618530273
1574860476.358722,780001,-16.510000228881836
1574860582.705942,790001,-16.489999771118164
1574860690.518391,800001,-16.469999313354492
1574860797.5433285,810001,-16.450000762939453
1574860904.5870686,820001,-16.389999389648438
1574861011.7280495,830001,-16.209999084472656
1574861119.2597508,840001,-16.059999465942383
1574861226.437867,850001,-15.960000038146973
1574861333.889268,860001,-15.920000076293945
1574861441.6999173,870001,-15.859999656677246
1574861549.6710284,880001,-15.760000228881836
1574861657.142128,890001,-15.8100004196167
1574861765.2621937,900001,-15.699999809265137
1574861873.485444,910001,-15.6899995803833
1574861981.7541356,920001,-15.5600004196167
1574862090.0966756,930001,-15.369999885559082
1574862197.2574217,940001,-15.239999771118164
1574862310.2063642,950001,-15.09000015258789
1574862418.8044765,960001,-14.890000343322754
1574862526.3209412,970001,-14.829999923706055
1574862635.2555132,980001,-14.5
1574862743.9446478,990001,-14.34000015258789
1574862851.7694538,1000001,-14.0600004196167
1574862961.100122,1010001,-14.039999961853027
1574863069.54326,1020001,-13.770000457763672
1574863177.6676135,1030001,-13.430000305175781
1574863284.245308,1040001,-13.1899995803833
1574863391.7407763,1050001,-12.949999809265137
1574863500.0072536,1060001,-12.710000038146973
