Wall time,Step,Value
1574819520.1110072,10001,-20.090909957885742
1574819545.3045917,20001,-20.095237731933594
1574819571.756712,30001,-20.21875
1574819596.9336805,40001,-20.255813598632812
1574819621.886533,50001,-20.226415634155273
1574819683.065331,60001,-20.21875
1574819743.0785384,70001,-20.200000762939453
1574819802.2605407,80001,-20.220930099487305
1574819861.3292153,90001,-20.268041610717773
1574819920.2448153,100001,-20.31999969482422
1574819979.0607443,110001,-20.350000381469727
1574820039.7070084,120001,-20.299999237060547
1574820100.1548376,130001,-20.350000381469727
1574820160.1523664,140001,-20.34000015258789
1574820219.6132872,150001,-20.329999923706055
1574820279.140513,160001,-20.309999465942383
1574820338.9471898,170001,-20.309999465942383
1574820398.6935775,180001,-20.299999237060547
1574820458.5677931,190001,-20.209999084472656
1574820518.5728114,200001,-20.15999984741211
1574820580.874913,210001,-20.139999389648438
1574820641.756032,220001,-20.040000915527344
1574820702.1495602,230001,-20.010000228881836
1574820762.5825083,240001,-20.049999237060547
1574820822.656947,250001,-20.059999465942383
1574820883.4319758,260001,-20.059999465942383
1574820944.3112667,270001,-20.049999237060547
1574821005.0295608,280001,-20.139999389648438
1574821065.7958016,290001,-20.139999389648438
1574821127.0958347,300001,-20.219999313354492
1574821188.3904803,310001,-20.270000457763672
1574821249.3430219,320001,-20.25
1574821312.8994346,330001,-20.25
1574821375.1082249,340001,-20.219999313354492
1574821437.6261125,350001,-20.200000762939453
1574821500.4378047,360001,-20.200000762939453
1574821563.036843,370001,-20.18000030517578
1574821625.647734,380001,-20.149999618530273
1574821688.1994731,390001,-20.110000610351562
1574821750.9391549,400001,-20.040000915527344
1574821814.0905323,410001,-20.049999237060547
1574821877.0976102,420001,-19.959999084472656
1574821940.0574465,430001,-19.989999771118164
1574822002.7110755,440001,-19.93000030517578
1574822065.3505354,450001,-19.889999389648438
1574822128.1938083,460001,-19.829999923706055
1574822191.4956229,470001,-19.809999465942383
1574822254.6311903,480001,-19.75
1574822317.061047,490001,-19.68000030517578
1574822379.895138,500001,-19.6200008392334
1574822442.7728648,510001,-19.549999237060547
1574822508.2642171,520001,-19.5
1574822572.9800813,530001,-19.3700008392334
1574822637.3635788,540001,-19.190000534057617
1574822701.7099495,550001,-19.06999969482422
1574822766.2120807,560001,-18.8799991607666
1574822831.0983975,570001,-18.81999969482422
1574822895.4860158,580001,-18.709999084472656
1574822960.1372688,590001,-18.469999313354492
1574823024.6010501,600001,-18.3700008392334
1574823089.4494216,610001,-18.059999465942383
1574823154.1466067,620001,-17.959999084472656
1574823218.910548,630001,-17.850000381469727
1574823283.7424135,640001,-17.729999542236328
1574823348.6473403,650001,-17.479999542236328
1574823413.806636,660001,-17.350000381469727
1574823479.0445192,670001,-17.200000762939453
1574823544.3741314,680001,-16.889999389648438
1574823609.6115339,690001,-16.780000686645508
1574823675.0718155,700001,-16.739999771118164
1574823740.0083652,710001,-16.739999771118164
1574823805.4358919,720001,-16.510000228881836
1574823870.6842518,730001,-16.309999465942383
1574823936.3556216,740001,-16.170000076293945
1574824002.0077446,750001,-15.979999542236328
1574824067.548131,760001,-15.729999542236328
1574824133.0938122,770001,-15.569999694824219
1574824199.2381942,780001,-15.470000267028809
1574824265.1003141,790001,-15.380000114440918
1574824331.1443884,800001,-15.319999694824219
1574824397.2123666,810001,-15.460000038146973
1574824463.0479887,820001,-15.329999923706055
1574824528.6425383,830001,-15.149999618530273
1574824594.6959255,840001,-14.770000457763672
1574824660.9939098,850001,-14.600000381469727
1574824727.5044804,860001,-14.470000267028809
1574824794.1564615,870001,-14.350000381469727
1574824860.9014323,880001,-14.149999618530273
1574824927.380521,890001,-14.050000190734863
1574824994.2107418,900001,-14.100000381469727
1574825060.6861553,910001,-14.010000228881836
1574825127.5724304,920001,-13.869999885559082
1574825193.5045786,930001,-13.579999923706055
1574825259.835215,940001,-13.25
1574825329.500609,950001,-13.130000114440918
1574825396.8170354,960001,-13.069999694824219
1574825464.7777295,970001,-13.100000381469727
1574825532.3995163,980001,-12.90999984741211
1574825600.1667216,990001,-12.65999984741211
1574825667.9867773,1000001,-12.5
1574825735.8736079,1010001,-12.319999694824219
1574825803.2864323,1020001,-12.210000038146973
1574825871.0480049,1030001,-12.0
1574825938.760832,1040001,-11.920000076293945
1574826005.8307104,1050001,-11.84000015258789
1574826073.4162457,1060001,-11.579999923706055
1574826140.9118762,1070001,-11.329999923706055
1574826208.2937403,1080001,-10.880000114440918
1574826276.0391886,1090001,-10.470000267028809
1574826343.093017,1100001,-10.300000190734863
1574826410.4877772,1110001,-10.119999885559082
1574826478.0612233,1120001,-9.859999656677246
1574826545.3305466,1130001,-9.59000015258789
1574826612.6468644,1140001,-9.569999694824219
1574826679.8723545,1150001,-9.350000381469727
1574826747.1170323,1160001,-8.920000076293945
1574826814.193007,1170001,-8.649999618530273
1574826881.1830525,1180001,-8.34000015258789
1574826948.137418,1190001,-7.960000038146973
1574827015.0375385,1200001,-7.909999847412109
1574827081.8018007,1210001,-7.579999923706055
1574827148.8114073,1220001,-7.550000190734863
1574827215.6376677,1230001,-7.360000133514404
1574827282.6414633,1240001,-7.260000228881836
1574827349.4481292,1250001,-7.090000152587891
1574827415.5557444,1260001,-7.03000020980835
1574827482.0909348,1270001,-7.070000171661377
1574827548.4322078,1280001,-6.949999809265137
1574827614.7154949,1290001,-6.929999828338623
1574827681.1250627,1300001,-6.679999828338623
1574827747.228993,1310001,-6.380000114440918
1574827813.6672223,1320001,-6.159999847412109
1574827879.982121,1330001,-6.050000190734863
1574827946.2918832,1340001,-5.679999828338623
1574828012.3412905,1350001,-5.329999923706055
1574828078.3506181,1360001,-5.159999847412109
1574828144.4477255,1370001,-5.099999904632568
1574828210.3094265,1380001,-4.75
1574828276.4698553,1390001,-4.900000095367432
1574828342.513739,1400001,-4.789999961853027
1574828408.4010682,1410001,-4.130000114440918
1574828474.3478043,1420001,-4.010000228881836
1574828540.7004824,1430001,-3.9600000381469727
1574828606.651062,1440001,-3.8299999237060547
1574828672.8120875,1450001,-3.640000104904175
1574828738.8491802,1460001,-3.069999933242798
