Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
2063.502026796341	25	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	3.2433624e-07	7.1762383e-07	-0.69314706	0.00024801496	0.00037983892	8.9640365e-05	0.69318515	30049	781274
2141.413491010666	26	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-9.022469e-08	8.314472e-07	-0.69314945	0.002191883	0.0008370825	0.00030064097	0.69323325	30049	811323
2218.348637342453	27	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-8.944495e-08	5.6650627e-08	-0.69314706	4.1276315e-05	7.1808454e-06	1.8363762e-06	0.6931479	30049	841372
2295.1661212444305	28	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.3421064e-07	7.787709e-07	-0.69246304	0.005829787	0.0001995694	6.9481976e-05	0.6924828	30049	871421
2372.609377861023	29	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.6492685e-07	1.1765524e-06	-0.69314814	0.0014262795	0.00018205575	5.933058e-05	0.6931664	30049	901470
2450.0818486213684	30	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-3.1047526e-07	1.9165411e-07	-0.69314706	0.00019159919	0.00025646348	0.000121338635	0.6931728	30049	931519
2527.963458299637	31	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.7771266e-07	5.729623e-07	-0.6931507	0.0005182141	0.0003764375	0.00016153522	0.69318837	30049	961568
2606.061160802841	32	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.9396255e-07	4.5441138e-07	-0.6931484	0.0015927764	2.4802514e-05	4.7454114e-06	0.6931509	30049	991617
2684.6213302612305	33	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.3339294e-06	6.9183557e-07	-0.692083	0.012355373	0.00062867487	0.00020330425	0.6921458	30049	1021666
2761.8878860473633	34	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-3.2091836e-07	1.8557606e-07	-0.69314843	0.0016349256	1.0822461e-05	3.6601593e-06	0.69314957	30049	1051715
2838.8993747234344	35	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.3971037e-07	4.6805383e-07	-0.69314736	0.00038889053	0.00020560673	2.5797064e-05	0.69316787	30049	1081764
2917.81364774704	36	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.691912e-07	9.148089e-08	-0.6931483	0.0015116035	0.00011767686	3.6114885e-05	0.69316006	30049	1111813
