Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
9.057971715927124	0	-0.42354834	0.078683086	-0.29057464	-0.6093121	21.0	0.0	-0.020168971	0.019882455	-0.019947212	0.020223165	-0.6928036	0.0557283	0.0002976215	7.3971445e-05	0.6928334	1008	1008
17.04054617881775	1	-0.4378709	0.09645857	-0.2508026	-0.6734388	21.0	0.0	-0.020850996	0.020815786	-0.020889154	0.02126715	-0.6854939	0.047597	9.890257e-05	1.6857339e-05	0.68550384	1008	2016
22.12459921836853	2	-0.38892904	0.10403839	-0.22189915	-0.70235425	21.0	0.0	-0.018520432	0.01854583	-0.01845689	0.018673314	-0.69454134	0.029654695	0.00019977381	0.00011684875	0.69456136	1008	3024
27.238744020462036	3	-0.41661096	0.09952582	-0.2692326	-0.6813531	21.0	0.0	-0.019838618	0.020390656	-0.01979621	0.020650292	-0.69111663	0.028528797	7.013181e-05	7.379822e-05	0.6911237	1008	4032
32.367823123931885	4	-0.4177306	0.108316556	-0.24319237	-0.6545401	21.0	0.0	-0.019891936	0.021256078	-0.019984564	0.021645559	-0.6963214	0.03285499	0.0048170695	0.007869616	0.6968031	1008	5040
37.881218671798706	5	-0.44120803	0.11489783	-0.22500208	-0.7491533	21.0	0.0	-0.021009909	0.021318618	-0.020862738	0.021413347	-0.6974819	0.023871431	0.00050410605	0.0008143131	0.6975323	1008	6048
43.47280693054199	6	-0.44784522	0.09218723	-0.2782192	-0.68673193	21.0	0.0	-0.021325963	0.021226345	-0.021339541	0.021368198	-0.69494164	0.017868144	0.0002486916	0.00036299534	0.6949665	1008	7056
48.80931854248047	7	-0.44895068	0.11231766	-0.24609713	-0.7277534	21.0	0.0	-0.021378605	0.021018108	-0.021206087	0.021106653	-0.6930049	0.023433987	0.0012786326	0.0021209705	0.69313276	1008	8064
54.413198947906494	8	0.72521424	6.2719707	39.03541	-0.7755264	21.0	0.0	0.034534007	0.76801246	0.036026273	0.76861244	-0.6806947	0.123984374	0.08508335	0.09218651	0.689203	1008	9072
60.000038862228394	9	1.3452368	8.274558	49.181347	-0.7704283	21.0	0.0	0.0640589	0.9387403	0.06509005	0.9394026	-0.688326	0.11962254	0.07839814	0.08610093	0.69616586	1008	10080
65.27754163742065	10	5.038815	13.150231	49.285976	-0.7888539	21.0	0.0	0.23994361	1.6112444	0.2455265	1.6138304	-0.70135605	0.23860808	0.19612238	0.19661742	0.7209683	1008	11088
70.36464142799377	11	8.335727	19.162325	78.769226	-0.9634609	21.0	0.0	0.39693937	2.0157654	0.398	2.0167706	-0.68738365	0.12931688	0.06800698	0.07340791	0.6941844	1008	12096
75.4735643863678	12	10.365524	19.467098	69.2217	-0.9267362	21.0	0.0	0.49359637	2.2268515	0.4966084	2.2297497	-0.6919322	0.1597559	0.14264792	0.13784319	0.706197	1008	13104
80.59478044509888	13	20.114553	19.872791	59.197113	-0.8056465	21.0	0.0	0.95783585	2.9828126	0.9630299	2.9912589	-0.70025635	0.21345004	0.19663858	0.16140126	0.7199203	1008	14112
85.71549153327942	14	21.509604	22.613958	78.79408	-0.96528566	21.0	0.0	1.024267	3.073196	1.0336126	3.083918	-0.63945085	0.25446796	0.25246835	0.21320641	0.66469765	1008	15120
90.85130620002747	15	32.04286	26.360102	98.63043	-0.78802824	21.0	0.0	1.5258503	3.624589	1.5339019	3.6373925	-0.6712612	0.24301444	0.2557522	0.18357673	0.6968365	1008	16128
95.9539406299591	16	46.36426	28.828363	99.0727	-0.833311	21.0	0.0	2.207822	4.170613	2.2160573	4.185983	-0.64478296	0.2535403	0.31805813	0.23852955	0.6765888	1008	17136
101.05686640739441	17	56.654552	26.192179	108.68915	-0.6171371	21.0	0.0	2.6978357	4.4548717	2.7118511	4.4780936	-0.66316473	0.3551288	0.42469555	0.2685307	0.70563424	1008	18144
106.16529321670532	18	54.3342	24.430218	88.92516	-0.5933047	21.0	0.0	2.5873432	4.396601	2.5950584	4.4100237	-0.6669734	0.26960984	0.29660547	0.20796059	0.69663393	1008	19152
111.36141324043274	19	62.025085	21.00634	98.47561	-0.5847359	21.0	0.0	2.9535756	4.5745134	2.964054	4.5915585	-0.6346192	0.32321832	0.39238587	0.24522795	0.6738578	1008	20160
116.6964476108551	20	59.616055	26.043453	98.679214	-0.9042331	21.0	0.0	2.8388598	4.521519	2.8510976	4.5353637	-0.6570089	0.3398172	0.35406026	0.24492906	0.6924149	1008	21168
121.81089735031128	21	62.554485	26.909653	108.66573	-0.94628495	21.0	0.0	2.978785	4.586995	2.987063	4.6018124	-0.60519576	0.3071146	0.33775246	0.1964409	0.63897103	1008	22176
127.04264879226685	22	74.53574	22.109526	118.63878	8.714032	21.0	0.0	3.549321	4.790068	3.5589101	4.8017325	-0.6373632	0.23298922	0.32576072	0.23797196	0.6699392	1008	23184
132.3627529144287	23	71.578804	23.5598	108.55933	18.876823	21.0	0.0	3.4085145	4.7471976	3.4149768	4.75709	-0.6549069	0.27535817	0.2978552	0.2377398	0.6846925	1008	24192
137.50671911239624	24	81.73676	21.044004	118.32724	18.899193	21.0	0.0	3.8922272	4.8795977	3.9020598	4.892963	-0.6632114	0.28832987	0.31151626	0.24255417	0.694363	1008	25200
