Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
3.0107390880584717	0	1.930725	9.136895	48.837753	-0.9255508	21.0	0.0	0.091939285	1.0807476	0.035004	1.0832087	1008	1008
4.380390644073486	1	8.581159	20.010817	78.755875	-0.9654889	21.0	0.0	0.4086266	2.0359554	0.3451254	2.0397828	1008	2016
5.400955677032471	2	4.109611	9.898632	39.06932	-0.9946772	21.0	0.0	0.19569579	1.4875818	0.12831283	1.490045	1008	3024
6.405187368392944	3	10.864349	16.365788	68.89413	-1.0389658	21.0	0.0	0.51734996	2.2811794	0.44904932	2.2841105	1008	4032
7.376587152481079	4	13.349652	23.32209	88.8057	-0.9788487	21.0	0.0	0.63569766	2.496568	0.5648264	2.4997337	1008	5040
8.326087474822998	5	29.22767	28.632923	88.59527	-1.0738597	21.0	0.0	1.3917937	3.4935968	1.3207347	3.496918	1008	6048
9.334165096282959	6	40.420456	31.705769	108.58179	-0.95475715	21.0	0.0	1.9247836	3.964733	1.8521615	3.9678164	1008	7056
10.358648300170898	7	41.23141	29.652832	98.49238	-0.9184912	21.0	0.0	1.9634005	3.9960692	1.888939	3.9987435	1008	8064
11.406681537628174	8	55.461987	26.877937	98.80408	-0.85459876	21.0	0.0	2.641047	4.4209113	2.565513	4.423267	1008	9072
12.485825061798096	9	56.843212	26.840761	98.524315	-0.7522426	21.0	0.0	2.7068195	4.4556904	2.6303828	4.457355	1008	10080
13.6200692653656	10	60.79356	27.334383	108.491455	-0.95114756	21.0	0.0	2.8949313	4.5437517	2.816919	4.54532	1008	11088
14.829955577850342	11	61.174816	30.279621	118.27135	-0.958002	21.0	0.0	2.9130864	4.5530725	2.8344095	4.5540953	1008	12096
16.098313093185425	12	62.382507	22.770182	108.1624	18.900387	21.0	0.0	2.9705954	4.578262	2.8912268	4.5788736	1008	13104
17.413322925567627	13	66.32437	24.548033	108.25792	-0.8281639	21.0	0.0	3.1583035	4.6520925	3.077784	4.6526666	1008	14112
18.749665021896362	14	73.21582	25.83443	118.08048	9.059444	21.0	0.0	3.4864676	4.7657604	3.4054508	4.765832	1008	15120
20.08628749847412	15	82.315865	22.347271	128.33246	29.00185	21.0	0.0	3.9198027	4.876181	3.837938	4.875987	1008	16128
21.46525502204895	16	76.94199	23.201485	137.88629	28.884464	21.0	0.0	3.6639044	4.8177342	3.5813482	4.817301	1008	17136
22.87530255317688	17	79.41505	22.22784	108.34077	8.755306	21.0	0.0	3.7816687	4.8468533	3.6985183	4.8461394	1008	18144
24.28438949584961	18	78.39086	23.039118	118.215904	8.639151	21.0	0.0	3.7328982	4.8358097	3.648951	4.835041	1008	19152
25.700688362121582	19	85.78162	24.296541	127.846924	-1.2336494	21.0	0.0	4.0848393	4.9066696	4.000064	4.9058285	1008	20160
27.08946180343628	20	83.05419	23.904924	127.60268	18.987516	21.0	0.0	3.9549618	4.879347	3.8696673	4.878355	1008	21168
28.537926197052002	21	90.03943	23.027567	128.0706	38.70248	21.0	0.0	4.287592	4.9378133	4.2018228	4.9364686	1008	22176
30.061281442642212	22	93.55585	21.487282	137.90277	38.959106	21.0	0.0	4.4550405	4.957806	4.3685946	4.9563684	1008	23184
31.648056507110596	23	94.76917	18.33521	137.74368	48.475693	21.0	0.0	4.512818	4.9616365	4.4257436	4.960171	1008	24192
33.24917984008789	24	96.83942	20.477018	147.74762	38.359596	21.0	0.0	4.6114006	4.969464	4.523703	4.9679236	1008	25200
34.91602182388306	25	90.64853	22.131317	118.24839	38.3647	21.0	0.0	4.316596	4.9393525	4.2288256	4.937473	1008	26208
