Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.9232544898986816	0	-0.4080615	0.080753565	-0.27530298	-0.6059069	21.0	0.0	-0.0194315	0.01879401	-0.0194315	0.01879401	1008	1008
4.260840177536011	1	-0.40068182	0.08636203	-0.25686684	-0.57770914	21.0	0.0	-0.019080086	0.018259037	-0.019080086	0.018259037	1008	2016
5.062927007675171	2	-0.416227	0.09034784	-0.25298417	-0.60944724	21.0	0.0	-0.019820333	0.01975085	-0.019820333	0.01975085	1008	3024
5.847958564758301	3	-0.40084925	0.09416059	-0.22467773	-0.6713718	21.0	0.0	-0.019088056	0.019804347	-0.019088056	0.019804347	1008	4032
6.633686065673828	4	-0.43599454	0.09857275	-0.25525486	-0.6925405	21.0	0.0	-0.020761644	0.019771252	-0.020761644	0.019771252	1008	5040
7.41265869140625	5	-0.41116393	0.10275571	-0.24410222	-0.6592224	21.0	0.0	-0.019579235	0.019880421	-0.019579235	0.019880421	1008	6048
8.204760789871216	6	-0.42427596	0.08897517	-0.28390214	-0.61631304	21.0	0.0	-0.020203616	0.020414898	-0.020203616	0.020414898	1008	7056
8.997975826263428	7	-0.44165543	0.10634239	-0.26133633	-0.71637005	21.0	0.0	-0.021031212	0.02195312	-0.021031212	0.02195312	1008	8064
9.782379865646362	8	-0.4179686	0.09506828	-0.24968076	-0.70960915	21.0	0.0	-0.019903267	0.020226983	-0.019903267	0.020226983	1008	9072
10.563214778900146	9	-0.4448506	0.10549704	-0.2642564	-0.7737589	21.0	0.0	-0.021183362	0.021243097	-0.021183362	0.021243097	1008	10080
11.376431703567505	10	-0.48826835	0.12463614	-0.22915706	-0.75090647	21.0	0.0	-0.023250872	0.022753408	-0.023250872	0.022753408	1008	11088
12.191143035888672	11	-0.06743735	2.831183	19.329302	-0.81200975	21.0	0.0	-0.0032112997	0.44441792	-0.0032112997	0.44441792	1008	12096
12.990386724472046	12	0.934691	5.707298	29.259394	-0.76506	21.0	0.0	0.044509094	0.829318	0.044509094	0.829318	1008	13104
13.794722318649292	13	-0.1084537	2.8375244	19.327261	-0.8403137	21.0	0.0	-0.0051644617	0.44524	-0.0051644617	0.44524	1008	14112
14.572012662887573	14	-0.4743725	0.13358143	-0.2578147	-0.83577335	21.0	0.0	-0.022589168	0.02245296	-0.022589168	0.02245296	1008	15120
15.371673107147217	15	-0.35330716	1.407372	9.235658	-1.1044953	21.0	0.0	-0.01682415	0.31580076	-0.01682415	0.31580076	1008	16128
16.241519451141357	16	1.3010927	8.045012	39.346237	-0.77395594	21.0	0.0	0.0619568	0.93872744	0.0619568	0.93872744	1008	17136
17.055287837982178	17	-0.1441317	1.9727831	9.3890295	-0.86704886	21.0	0.0	-0.0068634143	0.44302216	-0.0068634143	0.44302216	1008	18144
17.846481800079346	18	2.306573	10.549612	59.12654	-0.85219955	21.0	0.0	0.1098368	1.1690102	0.1098368	1.1690102	1008	19152
18.64327096939087	19	2.3409786	8.585116	39.054707	-0.85463995	21.0	0.0	0.11147518	1.1671983	0.11147518	1.1671983	1008	20160
19.449239492416382	20	4.6045356	11.281105	39.38574	-0.75806004	21.0	0.0	0.2192636	1.5523751	0.2192636	1.5523751	1008	21168
20.252286911010742	21	10.822441	19.144238	59.297813	-0.75877553	21.0	0.0	0.51535434	2.2658782	0.51535434	2.2658782	1008	22176
21.35692000389099	22	11.061535	18.42526	59.113857	-0.769149	21.0	0.0	0.5267397	2.2869096	0.5267397	2.2869096	1008	23184
22.575324535369873	23	13.949441	20.107466	79.21355	-0.88035965	21.0	0.0	0.6642592	2.5368788	0.6642592	2.5368788	1008	24192
23.486042737960815	24	17.022793	22.555603	98.83418	-0.8357463	21.0	0.0	0.8106091	2.77523	0.8106091	2.77523	1008	25200
24.4363009929657	25	20.149225	24.075815	78.924065	-0.7668004	21.0	0.0	0.95948696	2.9855719	0.95948696	2.9855719	1008	26208
25.360568284988403	26	13.919765	19.020834	69.02799	-0.77380234	21.0	0.0	0.662846	2.5382197	0.662846	2.5382197	1008	27216
26.263612985610962	27	23.45687	25.19328	78.95015	-0.7816851	21.0	0.0	1.1169938	3.1851437	1.1169938	3.1851437	1008	28224
27.196468830108643	28	23.413292	25.289482	88.91649	-0.8154748	21.0	0.0	1.1149187	3.185401	1.1149187	3.185401	1008	29232
28.11337113380432	29	22.17005	26.180305	88.922005	-0.9446805	21.0	0.0	1.0557166	3.1142936	1.0557166	3.1142936	1008	30240
29.0269513130188	30	23.636719	25.115545	78.96367	-0.76592284	21.0	0.0	1.125558	3.200025	1.125558	3.200025	1008	31248
29.9437575340271	31	22.18254	25.83795	79.010925	-0.82176435	21.0	0.0	1.0563115	3.1127224	1.0563115	3.1127224	1008	32256
30.871805906295776	32	33.779373	23.108402	89.16132	-0.8363692	21.0	0.0	1.6085416	3.7040079	1.6085416	3.7040079	1008	33264
31.804044246673584	33	39.36196	26.740807	88.91403	-0.73133385	21.0	0.0	1.874379	3.926067	1.874379	3.926067	1008	34272
32.7703754901886	34	44.520824	26.645082	98.83835	-0.8840012	21.0	0.0	2.1200392	4.109966	2.1200392	4.109966	1008	35280
33.692413091659546	35	43.09221	25.992393	88.88727	-0.66008943	21.0	0.0	2.0520098	4.0617733	2.0520098	4.0617733	1008	36288
34.60857391357422	36	47.98646	26.029324	109.018936	-1.0111219	21.0	0.0	2.2850695	4.2193503	2.2850695	4.2193503	1008	37296
35.5078649520874	37	47.23775	25.158497	98.83067	-0.6951028	21.0	0.0	2.2494168	4.194575	2.2494168	4.194575	1008	38304
36.41483736038208	38	57.118286	24.425625	108.65735	-0.93741304	21.0	0.0	2.7199185	4.4656076	2.7199185	4.4656076	1008	39312
37.31077694892883	39	54.864807	23.645603	98.502686	-0.72795343	21.0	0.0	2.6126099	4.408932	2.6126099	4.408932	1008	40320
38.21063828468323	40	55.093277	27.415249	118.539795	-0.6639072	21.0	0.0	2.6234896	4.413606	2.6234896	4.413606	1008	41328
39.1089825630188	41	56.30551	21.64772	98.76198	-0.69486725	21.0	0.0	2.6812148	4.4454174	2.6812148	4.4454174	1008	42336
40.07666349411011	42	57.511745	21.497454	98.84337	9.140836	21.0	0.0	2.7386544	4.4736705	2.7386544	4.4736705	1008	43344
