Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
3.525876045227051	0	1.930725	9.136895	48.837753	-0.9255508	21.0	0.0	0.091939285	1.0807476	0.09609492323662602	1.080885100056425	1008	1008
5.076039791107178	1	8.374379	19.530298	78.75951	-0.9626827	21.0	0.0	0.39878002	2.0138884	0.4019519344253547	2.013890879704316	1008	2016
6.090430498123169	2	3.9055557	9.463606	39.075047	-0.98840386	21.0	0.0	0.18597886	1.4556502	0.18869823792820184	1.455832948288957	1008	3024
7.138944864273071	3	10.041738	15.528176	58.908028	-1.1161183	21.0	0.0	0.478178	2.2019696	0.480913684051394	2.201935325551332	1008	4032
8.174315214157104	4	11.909272	21.946583	78.82298	-0.95753455	21.0	0.0	0.5671082	2.3744287	0.5693662741501977	2.374301415306929	1008	5040
9.222035646438599	5	27.798346	27.689611	88.63036	-1.0429251	21.0	0.0	1.3237307	3.4217343	1.3259503417576752	3.421394767721071	1008	6048
10.212768316268921	6	38.164215	32.151855	108.62263	-0.92400587	21.0	0.0	1.8173435	3.8802075	1.8192272433638226	3.8797777388914767	1008	7056
11.228806495666504	7	37.52209	29.50304	98.53671	-1.0315351	21.0	0.0	1.7867662	3.8583238	1.7885041671455366	3.8579275558985997	1008	8064
12.185866832733154	8	52.177723	27.783249	98.54285	-0.807037	21.0	0.0	2.4846535	4.335626	2.486220937254418	4.335163891819625	1008	9072
13.18401050567627	9	52.1049	26.346144	98.484406	-0.83309287	21.0	0.0	2.4811854	4.335267	2.482694098311785	4.334786994552557	1008	10080
14.193495750427246	10	55.226185	28.116018	108.545074	-0.89085054	21.0	0.0	2.6298184	4.4151993	2.631146218712833	4.4147450730018365	1008	11088
15.220537424087524	11	56.443363	30.122711	118.29329	-0.901756	21.0	0.0	2.687779	4.4462833	2.68912285307227	4.445773311298892	1008	12096
16.231671810150146	12	55.360504	24.996159	108.23094	8.95768	21.0	0.0	2.6362145	4.421194	2.6375089063814716	4.420711876864157	1008	13104
17.229811668395996	13	62.014416	25.221708	108.32321	-0.75670314	21.0	0.0	2.9530673	4.568838	2.9542589356213007	4.568376034552357	1008	14112
18.211994409561157	14	70.158775	26.182428	118.1512	-0.887192	21.0	0.0	3.340894	4.7190948	3.3420395724287206	4.718562291534313	1008	15120
19.16012954711914	15	78.21764	24.440561	118.398895	19.058586	21.0	0.0	3.72465	4.832363	3.7257041041819092	4.831851395314866	1008	16128
20.203675270080566	16	73.26057	25.172598	137.96252	18.949863	21.0	0.0	3.4885986	4.768642	3.489644811467592	4.76814189220627	1008	17136
21.15384864807129	17	74.482704	22.457453	108.41058	-1.2032536	21.0	0.0	3.5467954	4.785625	3.5478189391784363	4.785107457056908	1008	18144
22.114766597747803	18	74.70845	23.709713	108.603226	-1.3011804	21.0	0.0	3.5575454	4.7887044	3.558497732363432	4.788236621623128	1008	19152
23.064514636993408	19	80.64182	25.356112	127.92043	-1.1950128	21.0	0.0	3.8400867	4.8577924	3.8409489398210366	4.857346257042543	1008	20160
24.02570390701294	20	79.78742	25.160007	118.18737	9.040514	21.0	0.0	3.7994013	4.846332	3.8002491705990655	4.8459016587253565	1008	21168
25.013011932373047	21	87.39587	23.571995	127.71562	29.087317	21.0	0.0	4.161708	4.9197984	4.1625271384330205	4.91934123950565	1008	22176
26.017094612121582	22	91.32552	21.407955	137.48936	39.012146	21.0	0.0	4.3488345	4.946854	4.349609510906159	4.946396802493996	1008	23184
26.990042209625244	23	90.66079	21.553852	137.80562	38.530746	21.0	0.0	4.3171797	4.9420447	4.317918804747042	4.941617828374544	1008	24192
27.97968292236328	24	95.01935	21.23282	147.80458	28.419334	21.0	0.0	4.5247307	4.9640565	4.525433806139701	4.9636473112195	1008	25200
28.967914819717407	25	88.19849	22.18142	118.29686	38.405674	21.0	0.0	4.199928	4.9240174	4.200687741484532	4.923576154231377	1008	26208
29.94478702545166	26	100.274284	24.61774	137.43483	8.722479	21.0	0.0	4.7749662	4.9735394	4.7756503159257075	4.973099187901715	1008	27216
30.921727180480957	27	100.61725	19.174278	138.06093	48.592224	21.0	0.0	4.7912974	4.972006	4.791944755748885	4.971587104349539	1008	28224
